communication_id,customer_id,occurred_at,channel,direction,sentiment,summary
COM-0001,CUST-0001,2026-08-23,email,outbound,neutral,Fictional customer-success check-in.
COM-0002,CUST-0002,2026-08-14,email,outbound,neutral,Fictional customer-success check-in.
COM-0003,CUST-0003,2026-08-05,email,outbound,neutral,Fictional customer-success check-in.
COM-0004,CUST-0004,2026-07-27,email,outbound,neutral,Fictional customer-success check-in.
COM-0005,CUST-0005,2026-07-18,email,outbound,concerned,Fictional customer-success check-in.
COM-0006,CUST-0006,2026-07-09,email,outbound,neutral,Fictional customer-success check-in.
COM-0007,CUST-0007,2026-06-30,email,outbound,neutral,Fictional customer-success check-in.
COM-0008,CUST-0008,2026-06-21,email,outbound,neutral,Fictional customer-success check-in.
COM-0009,CUST-0009,2026-06-12,email,outbound,neutral,Fictional customer-success check-in.
COM-0010,CUST-0010,2026-09-01,email,outbound,neutral,Fictional customer-success check-in.
COM-0011,CUST-0011,2026-08-23,email,outbound,neutral,Fictional customer-success check-in.
COM-0012,CUST-0012,2026-08-14,email,outbound,concerned,Fictional customer-success check-in.
COM-0013,CUST-0013,2026-08-05,email,outbound,neutral,Fictional customer-success check-in.
COM-0014,CUST-0014,2026-07-27,email,outbound,neutral,Fictional customer-success check-in.
COM-0015,CUST-0015,2026-07-18,email,outbound,neutral,Fictional customer-success check-in.
COM-0016,CUST-0016,2026-07-09,email,outbound,neutral,Fictional customer-success check-in.
COM-0017,CUST-0017,2026-06-30,email,outbound,neutral,Fictional customer-success check-in.
COM-0018,CUST-0018,2026-06-21,email,outbound,neutral,Fictional customer-success check-in.
COM-0019,CUST-0019,2026-06-12,email,outbound,concerned,Fictional customer-success check-in.
COM-0020,CUST-0020,2026-09-01,email,outbound,neutral,Fictional customer-success check-in.
COM-0021,CUST-0021,2026-08-23,email,outbound,neutral,Fictional customer-success check-in.
COM-0022,CUST-0022,2026-08-14,email,outbound,neutral,Fictional customer-success check-in.
COM-0023,CUST-0023,2026-08-05,email,outbound,neutral,Fictional customer-success check-in.
COM-0024,CUST-0024,2026-07-27,email,outbound,neutral,Fictional customer-success check-in.
COM-0025,CUST-0025,2026-07-18,email,outbound,neutral,Fictional customer-success check-in.
COM-0026,CUST-0026,2026-07-09,email,outbound,concerned,Fictional customer-success check-in.
COM-0027,CUST-0027,2026-06-30,email,outbound,neutral,Fictional customer-success check-in.
COM-0028,CUST-0028,2026-06-21,email,outbound,neutral,Fictional customer-success check-in.
COM-0029,CUST-0029,2026-06-12,email,outbound,neutral,Fictional customer-success check-in.
COM-0030,CUST-0030,2026-09-01,email,outbound,neutral,Fictional customer-success check-in.
